file_num,file_name
10666,관보제1호
10667,정부수립국민축하식사진
10668,금동여래좌상
10669,금동장식
1066,현재시제
10670,모란무늬매병
10671,매화대나무학무늬매병
10672,구름학무늬매병
10673,구름학무늬항아리
10674,북한의선제타격작전계획
10675,전부가새겨진표석
10676,유엔한국위원단전보문
10677,유엔안전보장이사회결의문
10678,학도의용군신고서
10679,밀가루구호포대
1067,현재완료진행
10680,의무교육6개년계획실시문서
10681,비슈누
10682,시바
10683,파르바티그리고스칸다
10684,미투나
10685,사랑을나누는남녀
10686,시바와파르바티
10687,아이들에게둘러싸인여신
10688,PrintempsParfume춘향전프랑스어번역본
10689,콩나물교실
1068,현재형
10690,한미상호방위조약관련문서와조약문
10691,경제개발계획3개년계획안
10692,대중가요음반굳세어라금순아
10693,전선소야곡
10694,단장의미아리고개
10695,이범선의오발탄
10696,부처
10697,대한제국기사가실린영국잡지
10698,상투와함께한15년릴리아스언더우드
10699,전환기의조선게일
1069,혓바닥소리
106,시제
10700,이규상초상화
10701,고종황제즉위40주년기념장
10702,황태자가례기념장
10703,김희호패
10704,백자청화매죽문각병
10705,국립광주박물관
10706,반달돌칼
10707,주먹도끼
10708,흑요석
10709,조가비팔찌
1070,혓소리
10710,이음낚시
10711,상평통보
10712,수세패
10713,노비자매문서
10714,증보산림경제
10715,쌈지
10716,옥제허리띠장식
10717,낙랑예관명수막새
10718,간돌검
10719,볍씨자국이있는민무늬토기
1071,형식명사
10720,세모돌칼
10721,돌도끼
10722,요령식동검
10723,돌화살촉
10724,곱은옥
10725,연꽃무늬수막새
10726,연꽃무늬연목와
10727,연꽃무늬수막새
10728,도깨비얼굴무늬기와
10729,연꽃무늬곱새기와
1072,형식어
10730,명문이새겨져있는암막새
10731,그림이있는벽돌
10732,한국식돌검
10733,잔무늬거울
10734,민무늬토기
10735,화천
10736,새무늬청동기
10737,새모양토기
10738,말모양허리띠고리
10739,검은간토기
1073,형태론
10740,장락미앙명수막새
10741,백자청화연꽃당초무늬수키와
10742,만력십사년명암막새
10743,보살무늬곱새기와
10744,가네샤
10745,우마
10746,세잎무늬고리자루칼
10747,새발무늬항아리
10748,시루
10749,아궁이틀
1074,형태소
10750,겹아가리쌍단지
10751,숫돌
10752,거푸집
10753,누운자세의여신
10754,비로자나불
10755,청동북
10756,청화백자병
10757,서원도벽화
10758,비슈반타라본생도벽화
10759,거푸집
1075,호격
10760,세잎무늬고리자루칼
10761,봉황무늬칼자루끝장식
10762,금동신발
10763,금동관
10764,독널
10765,독널
10766,서원도장막벽화
10767,규문수지여행지도
10768,한글승경도
10769,김홍도가그렸다고전하는평생도
1076,호기음
10770,교지
10771,어제갱화첩
10772,독널
10773,독널
10774,덩이쇠
10775,두귀단지
10776,구멍단지
10777,원통모양토기
10778,경률이상
10779,청자도교인물모양주전자
1077,호칭어
10780,복금속활자
10781,연복사종명탁본
10782,수령옹주묘지명
10783,이제현초상화
10784,원통모양토기
10785,구멍단지
10786,받침모루
10787,관꾸미개
10788,장식자루칼
10789,관꾸미개
1078,혼종어
10790,금동신발
10791,청자모란무늬수막새
10792,연꽃무늬수막새
10793,도깨비얼굴무늬기와
10794,건칠불두
10795,불교벽화
10796,주칠금채경전상자
10797,재갈
10798,굽다리접시
10799,팔찌
1079,혼철
107,신라어
10800,말띠꾸미개
10801,자라병
10802,말띠드리개
10803,본뜬거울
10804,상서로운동물모양토기
10805,인화문뚜껑손잡이단지
10806,정병
10807,원통모양그릇받침
10808,오리모양토기
10809,조롱박모양주전자
1080,혼합모음
10810,서원도벽화
10811,고려시대의배나주선
10812,청동병
10813,수막새
10814,동전
10815,청자구름봉황무늬대접
10816,항아리
10817,기마여인상
10818,점토인형
10819,카라한조동전
1081,홑소리
10820,무덤을지키는상상의동물
10821,술잔
10822,메밀
10823,주먹도끼
10824,흑요석뗀석기
10825,옥귀걸이
10826,갈판과갈돌
10827,누른무늬토기
10828,교동동굴출토품
10829,술담는그릇
1082,화식부사
10830,채색토기
10831,옥벽
10832,칼집장식
10833,화장실모형
10834,무덤을지키는괴수
10835,삼국유사
10836,청동잔무늬거울
10837,별도끼
10838,붉은간토기
10839,반달돌칼
1083,확대
10840,화살촉과화살대
10841,부채모양도끼
10842,중도식토기
10843,전공민왕필현판탁본첩
10844,삼봉정도전의문집
10845,이성계발원사리구
10846,십이지상
10847,청동부절복제품
10848,금동뒤꽂이복제품
10849,쇠삽
1084,확인의문문
10850,송풍관
10851,청자양모양그릇
10852,관
10853,나비모양관모꾸미개
10854,용이그려진항아리
10855,토우장식뚜껑
10856,말탄인물상복제품
10857,석조이불병좌상복제품
10858,돌사자상복제품
10859,박병래실
1085,활용
10860,백자쌍학무늬연적
10861,백자개구리모양연적
10862,뿔모양잔
10863,가야계토기
10864,호등
10865,안압지출토목간
10866,부처
10867,염거화상탑에서나온글을새긴동판
10868,백자두꺼비모양연적
10869,백자주전자
1086,활용형
