단어,URL,설명
신어,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290179/MOV000286743_700X466.mp4,새로 생긴 말. 또는 새로 귀화한 외래어. 새말.
실질 형태소,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286054/MOV000286755_700X466.mp4,
ㅆ[쌍시옷],http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290180/MOV000286767_700X466.mp4,한글 자모 ‘ㅅ’의 된소리 글자.
쌍점,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290181/MOV000286769_700X466.mp4,
-아,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286062/MOV000286777_700X466.mp4,"((끝음절의 모음이 'ㅏ, ㅗ'인 용언의 어간 뒤에 붙어)) 해할 자리에 쓰여, 어떤 사실을 서술하거나 물음ㆍ명령ㆍ청유를 나타내는 종결 어미. "
-아,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286063/MOV000286779_700X466.mp4,"((끝음절의 모음이 'ㅏ, ㅗ'인 용언의 어간 뒤에 붙어)) 해할 자리에 쓰여, 어떤 사실을 서술하거나 물음ㆍ명령ㆍ청유를 나타내는 종결 어미."
-아,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290185/MOV000286781_700X466.mp4,"((끝음절의 모음이 'ㅏ, ㅗ'인 용언의 어간 뒤에 붙어)) 해할 자리에 쓰여, 어떤 사실을 서술하거나 물음ㆍ명령ㆍ청유를 나타내는 종결 어미. "
-아라①,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286068/MOV000286789_700X466.mp4,"(('가다'와 '가다'로 끝나는 동사, '오다'와 '오다'로 끝나는 동사를 제외하고 끝 음절의 모음이 'ㅏ, ㅗ'인 동사 어간 뒤에 붙어)) 해라할 자리에 쓰여, 명령하는 뜻을 나타내는 종결 어미."
-아라②,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286069/MOV000286791_700X466.mp4,"((끝 음절의 모음이 'ㅏ, ㅗ'인 형용사 어간 뒤에 붙어)) 해라할 자리에 쓰여, 명령하는 뜻을 나타내는 종결 어미.감탄의 뜻을 나타내는 종결 어미."
-아야만,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286072/MOV000286797_700X466.mp4,"((끝음절의 모음이 'ㅏ, ㅗ'인 용언의 어간 뒤에 붙어)) 앞 절의 일이 뒤 절 일의 필수적인 조건임을 나타내는 연결 어미. 어미 ‘-아야’에 보조사 ‘만’이 결합한 말이다."
-아요,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286074/MOV000286802_700X466.mp4,"((끝음절의 모음이 'ㅏ, ㅗ'인 용언의 어간 뒤에 붙어)) 해요할 자리에 쓰여, 설명ㆍ의문ㆍ명령ㆍ청유의 뜻을 나타내는 종결 어미. 어미 ‘아’와 보조사 ‘요’가 결합한 말이다."
-아요,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286076/MOV000286806_700X466.mp4,"((끝음절의 모음이 'ㅏ, ㅗ'인 용언의 어간 뒤에 붙어)) 해요할 자리에 쓰여, 설명ㆍ의문ㆍ명령ㆍ청유의 뜻을 나타내는 종결 어미. 어미 ‘아’와 보조사 ‘요’가 결합한 말이다."
