NO,단어,URL
202,-지요,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286537/MOV000288334_700X466.mp4
203,-지요,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286538/MOV000288336_700X466.mp4
204,직접 높임,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286540/MOV000288342_700X466.mp4
205,어문 규범,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286126/MOV000286953_700X466.mp4
206,어미,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290199/MOV000286958_700X466.mp4
207,어법,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286129/MOV000286965_700X466.mp4
208,어법대로 적기,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286130/MOV000286968_700X466.mp4
209,-어서,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286131/MOV000286973_700X466.mp4
210,어순,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286132/MOV000286975_700X466.mp4
211,-어야,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286133/MOV000286978_700X466.mp4
212,-어요,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286139/MOV000286990_700X466.mp4
213,어용론,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286140/MOV000286992_700X466.mp4
214,어절,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286142/MOV000287000_700X466.mp4
215,어종,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286143/MOV000287003_700X466.mp4
216,어휘 형태소,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286147/MOV000287016_700X466.mp4
217,언어 공동체,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286151/MOV000287032_700X466.mp4
218,언어 기호,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286152/MOV000287035_700X466.mp4
219,언어 분류,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290203/MOV000287043_700X466.mp4
220,언어학,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286157/MOV000287054_700X466.mp4
221,언중,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286159/MOV000287061_700X466.mp4
222,-었,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290204/MOV000287065_700X466.mp4
223,ㅔ[에],http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290205/MOV000287076_700X466.mp4
224,에[1]①,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290206/MOV000287078_700X466.mp4
225,에[1]③,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290208/MOV000287082_700X466.mp4
226,에[1]④,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290209/MOV000287084_700X466.mp4
227,에게,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290214/MOV000287094_700X466.mp4
228,에게다2,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286176/MOV000287098_700X466.mp4
229,에는,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290216/MOV000287100_700X466.mp4
230,에다가②,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286181/MOV000287108_700X466.mp4
231,에서①②,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290220/MOV000287110_700X466.mp4
232,에서부터,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286185/MOV000287116_700X466.mp4
233,에설랑,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290223/MOV000287119_700X466.mp4
234,에의,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290225/MOV000287123_700X466.mp4
235,여린입천장,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290228/MOV000287131_700X466.mp4
236,여린입천장소리,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286193/MOV000287134_700X466.mp4
237,연결 어미,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286198/MOV000287152_700X466.mp4
238,연구개음,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286199/MOV000287156_700X466.mp4
239,-였,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/286203/MOV000287170_700X466.mp4
